price,Date
53.74,2022-04-01 00:00:00
54.08,2022-04-01 00:15:00
54.64,2022-04-01 00:30:00
54.44,2022-04-01 00:45:00
55.19,2022-04-01 01:00:00
57.52,2022-04-01 01:15:00
56.53,2022-04-01 01:30:00
56.86,2022-04-01 01:45:00
55.15,2022-04-01 02:00:00
55.96,2022-04-01 02:15:00
55.4,2022-04-01 02:30:00
55.81,2022-04-01 02:45:00
56.33,2022-04-01 03:00:00
56.44,2022-04-01 03:15:00
55.74,2022-04-01 03:30:00
55.12,2022-04-01 03:45:00
54.04,2022-04-01 04:00:00
54.72,2022-04-01 04:15:00
54.81,2022-04-01 04:30:00
55.28,2022-04-01 04:45:00
55.03,2022-04-01 05:00:00
54.72,2022-04-01 05:15:00
54.86,2022-04-01 05:30:00
54.58,2022-04-01 05:45:00
54.59,2022-04-01 06:00:00
56.08,2022-04-01 06:15:00
55.37,2022-04-01 06:30:00
55.06,2022-04-01 06:45:00
55.39,2022-04-01 07:00:00
55.67,2022-04-01 07:15:00
55.35,2022-04-01 07:30:00
55.63,2022-04-01 07:45:00
55.99,2022-04-01 08:00:00
55.32,2022-04-01 08:15:00
55.91,2022-04-01 08:30:00
56.46,2022-04-01 08:45:00
57.65,2022-04-01 09:00:00
56.5,2022-04-01 09:15:00
55.37,2022-04-01 09:30:00
55.21,2022-04-01 09:45:00
55.03,2022-04-01 10:00:00
55.49,2022-04-01 10:15:00
55.01,2022-04-01 10:30:00
55.2,2022-04-01 10:45:00
54.8,2022-04-01 11:00:00
55.14,2022-04-01 11:15:00
55.84,2022-04-01 11:30:00
55.15,2022-04-01 11:45:00
54.5,2022-04-01 12:00:00
54.53,2022-04-01 12:15:00
54.47,2022-04-01 12:30:00
53.73,2022-04-01 12:45:00
52.99,2022-04-01 13:00:00
52.39,2022-04-01 13:15:00
53.17,2022-04-01 13:30:00
52.88,2022-04-01 13:45:00
53.54,2022-04-01 14:00:00
54.14,2022-04-01 14:15:00
54.29,2022-04-01 14:30:00
54.64,2022-04-01 14:45:00
54.51,2022-04-01 15:00:00
54.23,2022-04-01 15:15:00
53.76,2022-04-01 15:30:00
54.22,2022-04-01 15:45:00
54.3,2022-04-01 16:00:00
53.82,2022-04-01 16:15:00
53.52,2022-04-01 16:30:00
53.31,2022-04-01 16:45:00
53.45,2022-04-01 17:00:00
53.49,2022-04-01 17:15:00
53.05,2022-04-01 17:30:00
52.87,2022-04-01 17:45:00
52.87,2022-04-01 18:00:00
52.72,2022-04-01 18:15:00
52.75,2022-04-01 18:30:00
52.74,2022-04-01 18:45:00
52.32,2022-04-01 19:00:00
