price,Date
16.37,2022-03-01 00:00:00
16.59,2022-03-01 00:15:00
17.56,2022-03-01 00:30:00
17.0,2022-03-01 00:45:00
16.48,2022-03-01 01:00:00
16.62,2022-03-01 01:15:00
16.98,2022-03-01 01:30:00
17.2,2022-03-01 01:45:00
16.92,2022-03-01 02:00:00
16.98,2022-03-01 02:15:00
17.08,2022-03-01 02:30:00
17.44,2022-03-01 02:45:00
17.31,2022-03-01 03:00:00
17.36,2022-03-01 03:15:00
17.4,2022-03-01 03:30:00
17.6,2022-03-01 03:45:00
17.77,2022-03-01 04:00:00
17.36,2022-03-01 04:15:00
17.28,2022-03-01 04:30:00
17.1,2022-03-01 04:45:00
17.16,2022-03-01 05:00:00
17.32,2022-03-01 05:15:00
16.98,2022-03-01 05:30:00
17.11,2022-03-01 05:45:00
17.04,2022-03-01 06:00:00
16.88,2022-03-01 06:15:00
16.84,2022-03-01 06:30:00
16.78,2022-03-01 06:45:00
16.93,2022-03-01 07:00:00
16.89,2022-03-01 07:15:00
17.12,2022-03-01 07:30:00
17.28,2022-03-01 07:45:00
17.08,2022-03-01 08:00:00
17.02,2022-03-01 08:15:00
17.12,2022-03-01 08:30:00
17.14,2022-03-01 08:45:00
17.13,2022-03-01 09:00:00
17.01,2022-03-01 09:15:00
16.82,2022-03-01 09:30:00
16.87,2022-03-01 09:45:00
16.78,2022-03-01 10:00:00
16.73,2022-03-01 10:15:00
17.18,2022-03-01 10:30:00
17.21,2022-03-01 10:45:00
17.29,2022-03-01 11:00:00
17.17,2022-03-01 11:15:00
17.09,2022-03-01 11:30:00
17.1,2022-03-01 11:45:00
16.98,2022-03-01 12:00:00
17.98,2022-03-01 12:15:00
18.84,2022-03-01 12:30:00
18.97,2022-03-01 12:45:00
19.63,2022-03-01 13:00:00
19.48,2022-03-01 13:15:00
19.3,2022-03-01 13:30:00
18.84,2022-03-01 13:45:00
18.74,2022-03-01 14:00:00
18.73,2022-03-01 14:15:00
18.69,2022-03-01 14:30:00
18.99,2022-03-01 14:45:00
18.71,2022-03-01 15:00:00
18.65,2022-03-01 15:15:00
18.66,2022-03-01 15:30:00
18.68,2022-03-01 15:45:00
18.07,2022-03-01 16:00:00
18.03,2022-03-01 16:15:00
17.95,2022-03-01 16:30:00
17.94,2022-03-01 16:45:00
17.69,2022-03-01 17:00:00
17.79,2022-03-01 17:15:00
17.97,2022-03-01 17:30:00
17.8,2022-03-01 17:45:00
17.8,2022-03-01 18:00:00
17.84,2022-03-01 18:15:00
17.84,2022-03-01 18:30:00
17.86,2022-03-01 18:45:00
17.95,2022-03-01 19:00:00
17.91,2022-03-01 19:15:00
18.1,2022-03-01 19:30:00
18.23,2022-03-01 19:45:00
17.76,2022-03-01 20:00:00
17.86,2022-03-01 20:15:00
17.9,2022-03-01 20:30:00
17.45,2022-03-01 20:45:00
17.28,2022-03-01 21:00:00
17.3,2022-03-01 21:15:00
17.19,2022-03-01 21:30:00
17.25,2022-03-01 21:45:00
17.27,2022-03-01 22:00:00
17.46,2022-03-01 22:15:00
17.73,2022-03-01 22:30:00
17.68,2022-03-01 22:45:00
17.74,2022-03-01 23:00:00
17.68,2022-03-01 23:15:00
17.53,2022-03-01 23:30:00
17.45,2022-03-01 23:45:00
17.23,2022-03-02 00:00:00
17.05,2022-03-02 00:15:00
17.99,2022-03-02 00:30:00
18.76,2022-03-02 00:45:00
18.34,2022-03-02 01:00:00
18.52,2022-03-02 01:15:00
18.13,2022-03-02 01:30:00
18.11,2022-03-02 01:45:00
18.32,2022-03-02 02:00:00
18.09,2022-03-02 02:15:00
17.95,2022-03-02 02:30:00
18.13,2022-03-02 02:45:00
18.05,2022-03-02 03:00:00
18.08,2022-03-02 03:15:00
17.9,2022-03-02 03:30:00
17.55,2022-03-02 03:45:00
17.68,2022-03-02 04:00:00
17.76,2022-03-02 04:15:00
17.76,2022-03-02 04:30:00
17.79,2022-03-02 04:45:00
17.96,2022-03-02 05:00:00
17.66,2022-03-02 05:15:00
17.79,2022-03-02 05:30:00
17.81,2022-03-02 05:45:00
17.64,2022-03-02 06:00:00
17.66,2022-03-02 06:15:00
17.56,2022-03-02 06:30:00
17.49,2022-03-02 06:45:00
17.5,2022-03-02 07:00:00
17.64,2022-03-02 07:15:00
17.79,2022-03-02 07:30:00
17.7,2022-03-02 07:45:00
17.58,2022-03-02 08:00:00
17.83,2022-03-02 08:15:00
18.05,2022-03-02 08:30:00
17.81,2022-03-02 08:45:00
17.75,2022-03-02 09:00:00
17.66,2022-03-02 09:15:00
17.7,2022-03-02 09:30:00
17.91,2022-03-02 09:45:00
17.86,2022-03-02 10:00:00
17.98,2022-03-02 10:15:00
17.97,2022-03-02 10:30:00
17.86,2022-03-02 10:45:00
18.89,2022-03-02 11:00:00
18.84,2022-03-02 11:15:00
19.31,2022-03-02 11:30:00
19.09,2022-03-02 11:45:00
18.79,2022-03-02 12:00:00
18.7,2022-03-02 12:15:00
18.42,2022-03-02 12:30:00
18.33,2022-03-02 12:45:00
18.19,2022-03-02 13:00:00
18.02,2022-03-02 13:15:00
17.83,2022-03-02 13:30:00
18.0,2022-03-02 13:45:00
18.2,2022-03-02 14:00:00
18.05,2022-03-02 14:15:00
18.58,2022-03-02 14:30:00
18.46,2022-03-02 14:45:00
17.9,2022-03-02 15:00:00
18.06,2022-03-02 15:15:00
17.95,2022-03-02 15:30:00
17.95,2022-03-02 15:45:00
18.18,2022-03-02 16:00:00
17.93,2022-03-02 16:15:00
17.97,2022-03-02 16:30:00
17.91,2022-03-02 16:45:00
17.9,2022-03-02 17:00:00
17.48,2022-03-02 17:15:00
17.57,2022-03-02 17:30:00
17.45,2022-03-02 17:45:00
17.53,2022-03-02 18:00:00
17.61,2022-03-02 18:15:00
17.53,2022-03-02 18:30:00
17.62,2022-03-02 18:45:00
17.59,2022-03-02 19:00:00
17.51,2022-03-02 19:15:00
17.65,2022-03-02 19:30:00
17.58,2022-03-02 19:45:00
17.72,2022-03-02 20:00:00
17.63,2022-03-02 20:15:00
17.65,2022-03-02 20:30:00
17.65,2022-03-02 20:45:00
17.72,2022-03-02 21:00:00
18.04,2022-03-02 21:15:00
18.02,2022-03-02 21:30:00
18.29,2022-03-02 21:45:00
18.08,2022-03-02 22:00:00
18.08,2022-03-02 22:15:00
18.26,2022-03-02 22:30:00
18.14,2022-03-02 22:45:00
18.23,2022-03-02 23:00:00
18.16,2022-03-02 23:15:00
17.9,2022-03-02 23:30:00
17.9,2022-03-02 23:45:00
17.49,2022-03-03 00:00:00
17.43,2022-03-03 00:15:00
17.59,2022-03-03 00:30:00
17.78,2022-03-03 00:45:00
17.69,2022-03-03 01:00:00
17.93,2022-03-03 01:15:00
17.91,2022-03-03 01:30:00
18.19,2022-03-03 01:45:00
18.39,2022-03-03 02:00:00
18.3,2022-03-03 02:15:00
18.41,2022-03-03 02:30:00
18.23,2022-03-03 02:45:00
17.97,2022-03-03 03:00:00
17.86,2022-03-03 03:15:00
17.57,2022-03-03 03:30:00
17.71,2022-03-03 03:45:00
17.56,2022-03-03 04:00:00
17.64,2022-03-03 04:15:00
17.93,2022-03-03 04:30:00
17.99,2022-03-03 04:45:00
17.9,2022-03-03 05:00:00
17.93,2022-03-03 05:15:00
17.78,2022-03-03 05:30:00
17.9,2022-03-03 05:45:00
17.68,2022-03-03 06:00:00
17.89,2022-03-03 06:15:00
18.31,2022-03-03 06:30:00
18.13,2022-03-03 06:45:00
18.06,2022-03-03 07:00:00
18.03,2022-03-03 07:15:00
17.93,2022-03-03 07:30:00
18.08,2022-03-03 07:45:00
18.19,2022-03-03 08:00:00
18.22,2022-03-03 08:15:00
18.17,2022-03-03 08:30:00
17.94,2022-03-03 08:45:00
18.07,2022-03-03 09:00:00
